&,-l -> <1>	confidence:0.9875776397515528
&,-l -> <2>	confidence:0.8509316770186336
&,-l -> cd	confidence:0.9503105590062112
&,<2> -> <1>	confidence:0.9846938775510204
&,<3> -> <1>	confidence:1.0
&,> -> <1>	confidence:1.0
&,cd -> <1>	confidence:1.0
&,<1> -> cd	confidence:0.841079460269865
&,cp -> <1>	confidence:1.0
&,emacs -> <1>	confidence:0.8402777777777778
&,grep -> <1>	confidence:1.0
&,ll -> <1>	confidence:1.0
&,ls -> <1>	confidence:0.9838187702265372
&,more -> <1>	confidence:1.0
&,mv -> <1>	confidence:1.0
<1>,netscape -> &	confidence:0.9008620689655172
&,rm -> <1>	confidence:1.0
&,vi -> <1>	confidence:1.0
&,z -> <1>	confidence:0.9825581395348837
&,> -> <2>	confidence:0.8719512195121951
&,<2> -> cd	confidence:0.9387755102040817
&,cp -> <2>	confidence:0.986013986013986
&,grep -> <2>	confidence:0.9491525423728814
&,ll -> <2>	confidence:0.8220338983050848
&,mv -> <2>	confidence:0.9937888198757764
&,rm -> <2>	confidence:0.8125
&,vi -> <2>	confidence:0.8301158301158301
&,<3> -> cd	confidence:0.9784172661870504
&,> -> cd	confidence:0.9939024390243902
&,cp -> cd	confidence:0.986013986013986
&,grep -> cd	confidence:0.9745762711864406
&,ll -> cd	confidence:0.9830508474576272
&,ls -> cd	confidence:0.9288025889967637
&,mv -> cd	confidence:0.968944099378882
cd,netscape -> &	confidence:0.9151515151515152
&,rm -> cd	confidence:0.9669117647058824
&,vi -> cd	confidence:0.9575289575289575
&,z -> cd	confidence:0.8895348837209303
- -> <1>,<2>	confidence:0.9295774647887324
-,<2> -> <1>	confidence:1.0
-,<1> -> <2>	confidence:0.9295774647887324
- -> <1>,cd	confidence:0.9894366197183099
-,cd -> <1>	confidence:1.0
-,<1> -> cd	confidence:0.9894366197183099
-,cp -> <1>	confidence:1.0
-,grep -> <1>	confidence:1.0
-,k -> <1>	confidence:1.0
-,ll -> <1>	confidence:1.0
-,ls -> <1>	confidence:1.0
-,m -> <1>	confidence:1.0
-,mv -> <1>	confidence:1.0
-,rm -> <1>	confidence:1.0
-,vi -> <1>	confidence:1.0
-,| -> <1>	confidence:1.0
- -> <2>,cd	confidence:0.926056338028169
-,cd -> <2>	confidence:0.9359430604982206
-,<2> -> cd	confidence:0.9962121212121212
-,cp -> <2>	confidence:0.9915254237288136
-,grep -> <2>	confidence:1.0
-,k -> <2>	confidence:0.9516129032258065
-,ll -> <2>	confidence:0.9497716894977168
-,ls -> <2>	confidence:0.952755905511811
-,m -> <2>	confidence:0.959731543624161
-,mv -> <2>	confidence:0.9933774834437086
-,rm -> <2>	confidence:0.9834254143646409
-,vi -> <2>	confidence:0.967948717948718
-,| -> <2>	confidence:0.9615384615384616
-,cp -> cd	confidence:1.0
-,grep -> cd	confidence:1.0
-,k -> cd	confidence:1.0
-,ll -> cd	confidence:1.0
