&,-l -> <1>,<2>	confidence:0.84472049689441
&,-l,<2> -> <1>	confidence:0.9927007299270073
&,-l,<1> -> <2>	confidence:0.8553459119496856
&,-l -> <1>,cd	confidence:0.9503105590062112
&,-l,cd -> <1>	confidence:1.0
&,-l,<1> -> cd	confidence:0.9622641509433962
&,-l -> <2>,cd	confidence:0.8136645962732919
&,-l,cd -> <2>	confidence:0.8562091503267973
&,-l,<2> -> cd	confidence:0.9562043795620438
&,<2>,> -> <1>	confidence:1.0
&,<1>,> -> <2>	confidence:0.8719512195121951
&,> -> <1>,<2>	confidence:0.8719512195121951
&,<2>,cd -> <1>	confidence:1.0
&,<2> -> <1>,cd	confidence:0.9387755102040817
&,<1>,<2> -> cd	confidence:0.9533678756476683
&,<2>,cp -> <1>	confidence:1.0
&,<1>,cp -> <2>	confidence:0.986013986013986
&,cp -> <1>,<2>	confidence:0.986013986013986
&,<2>,grep -> <1>	confidence:1.0
&,<1>,grep -> <2>	confidence:0.9491525423728814
&,grep -> <1>,<2>	confidence:0.9491525423728814
&,<2>,ll -> <1>	confidence:1.0
&,<1>,ll -> <2>	confidence:0.8220338983050848
&,ll -> <1>,<2>	confidence:0.8220338983050848
&,<2>,ls -> <1>	confidence:0.9951219512195122
&,<2>,mv -> <1>	confidence:1.0
&,<1>,mv -> <2>	confidence:0.9937888198757764
&,mv -> <1>,<2>	confidence:0.9937888198757764
&,<2>,rm -> <1>	confidence:1.0
&,<1>,rm -> <2>	confidence:0.8125
&,rm -> <1>,<2>	confidence:0.8125
&,<2>,vi -> <1>	confidence:1.0
&,<1>,vi -> <2>	confidence:0.8301158301158301
&,vi -> <1>,<2>	confidence:0.8301158301158301
&,<3>,cd -> <1>	confidence:1.0
&,<3> -> <1>,cd	confidence:0.9784172661870504
&,<1>,<3> -> cd	confidence:0.9784172661870504
&,>,cd -> <1>	confidence:1.0
&,> -> <1>,cd	confidence:0.9939024390243902
&,<1>,> -> cd	confidence:0.9939024390243902
&,>,rm -> <1>	confidence:1.0
&,cd,cp -> <1>	confidence:1.0
&,<1>,cp -> cd	confidence:0.986013986013986
&,cp -> <1>,cd	confidence:0.986013986013986
&,cd,emacs -> <1>	confidence:1.0
&,<1>,emacs -> cd	confidence:0.9173553719008265
&,cd,grep -> <1>	confidence:1.0
&,<1>,grep -> cd	confidence:0.9745762711864406
&,grep -> <1>,cd	confidence:0.9745762711864406
&,cd,ll -> <1>	confidence:1.0
&,<1>,ll -> cd	confidence:0.9830508474576272
&,ll -> <1>,cd	confidence:0.9830508474576272
&,cd,ls -> <1>	confidence:1.0
&,<1>,ls -> cd	confidence:0.944078947368421
&,ls -> <1>,cd	confidence:0.9288025889967637
&,cd,mv -> <1>	confidence:1.0
&,<1>,mv -> cd	confidence:0.968944099378882
&,mv -> <1>,cd	confidence:0.968944099378882
<1>,cd,netscape -> &	confidence:0.9151515151515152
&,cd,netscape -> <1>	confidence:1.0
cd,netscape -> &,<1>	confidence:0.9151515151515152
&,cd,rm -> <1>	confidence:1.0
&,<1>,rm -> cd	confidence:0.9669117647058824
&,rm -> <1>,cd	confidence:0.9669117647058824
&,cd,vi -> <1>	confidence:1.0
&,<1>,vi -> cd	confidence:0.9575289575289575
&,vi -> <1>,cd	confidence:0.9575289575289575
&,cd,z -> <1>	confidence:1.0
&,<1>,z -> cd	confidence:0.9053254437869822
&,z -> <1>,cd	confidence:0.8895348837209303
&,ll,rm -> <1>	confidence:1.0
&,ll,vi -> <1>	confidence:1.0
&,ls,rm -> <1>	confidence:1.0
&,ls,vi -> <1>	confidence:1.0
&,mv,rm -> <1>	confidence:1.0
&,mv,vi -> <1>	confidence:1.0
&,rm,vi -> <1>	confidence:1.0
&,>,cd -> <2>	confidence:0.8711656441717791
&,> -> <2>,cd	confidence:0.8658536585365854
&,<2>,> -> cd	confidence:0.993006993006993
&,>,rm -> <2>	confidence:0.9024390243902439
&,cd,cp -> <2>	confidence:0.9858156028368794
&,<2>,cp -> cd	confidence:0.9858156028368794
&,cp -> <2>,cd	confidence:0.972027972027972
&,cd,ll -> <2>	confidence:0.8318965517241379
&,<2>,ll -> cd	confidence:0.9948453608247423
&,ll -> <2>,cd	confidence:0.8177966101694916
&,<2>,ls -> cd	confidence:0.9658536585365853
&,cd,mv -> <2>	confidence:0.9935897435897436
&,<2>,mv -> cd	confidence:0.96875
&,mv -> <2>,cd	confidence:0.9627329192546584
&,cd,rm -> <2>	confidence:0.8250950570342205
&,<2>,rm -> cd	confidence:0.9819004524886877
&,cd,vi -> <2>	confidence:0.842741935483871
&,<2>,vi -> cd	confidence:0.9720930232558139
&,vi -> <2>,cd	confidence:0.806949806949807
&,ll,rm -> <2>	confidence:0.9202898550724637
&,ll,vi -> <2>	confidence:0.8979591836734694
&,mv,rm -> <2>	confidence:1.0
&,mv,vi -> <2>	confidence:1.0
&,rm,vi -> <2>	confidence:0.8860759493670886
&,>,rm -> cd	confidence:0.991869918699187
&,ll,rm -> cd	confidence:0.9927536231884058
&,ll,vi -> cd	confidence:0.9931972789115646
&,ls,rm -> cd	confidence:0.9622641509433962
&,ls,vi -> cd	confidence:0.9705882352941176
&,mv,rm -> cd	confidence:0.9912280701754386
&,mv,vi -> cd	confidence:0.9739130434782609
&,rm,vi -> cd	confidence:0.9810126582278481
- -> <1>,<2>,cd	confidence:0.926056338028169
-,<2>,cd -> <1>	confidence:1.0
-,<1> -> <2>,cd	confidence:0.926056338028169
-,<1>,cd -> <2>	confidence:0.9359430604982206
-,<2> -> <1>,cd	confidence:0.9962121212121212
-,cd -> <1>,<2>	confidence:0.9359430604982206
-,<1>,<2> -> cd	confidence:0.9962121212121212
-,<2>,cp -> <1>	confidence:1.0
-,<1>,cp -> <2>	confidence:0.9915254237288136
-,cp -> <1>,<2>	confidence:0.9915254237288136
-,<2>,grep -> <1>	confidence:1.0
-,<1>,grep -> <2>	confidence:1.0
-,grep -> <1>,<2>	confidence:1.0
-,<2>,k -> <1>	confidence:1.0
-,<1>,k -> <2>	confidence:0.9516129032258065
-,k -> <1>,<2>	confidence:0.9516129032258065
-,<2>,ll -> <1>	confidence:1.0
-,<1>,ll -> <2>	confidence:0.9497716894977168
-,ll -> <1>,<2>	confidence:0.9497716894977168
-,<2>,ls -> <1>	confidence:1.0
-,<1>,ls -> <2>	confidence:0.952755905511811
-,ls -> <1>,<2>	confidence:0.952755905511811
-,<2>,m -> <1>	confidence:1.0
-,<1>,m -> <2>	confidence:0.959731543624161
-,m -> <1>,<2>	confidence:0.959731543624161
-,<2>,mv -> <1>	confidence:1.0
-,<1>,mv -> <2>	confidence:0.9933774834437086
-,mv -> <1>,<2>	confidence:0.9933774834437086
-,<2>,rm -> <1>	confidence:1.0
-,<1>,rm -> <2>	confidence:0.9834254143646409
-,rm -> <1>,<2>	confidence:0.9834254143646409
-,<2>,vi -> <1>	confidence:1.0
-,<1>,vi -> <2>	confidence:0.967948717948718
-,vi -> <1>,<2>	confidence:0.967948717948718
-,<2>,| -> <1>	confidence:1.0
