&,-l -> <1>,<2>,cd	confidence:0.8136645962732919
&,-l,<2>,cd -> <1>	confidence:1.0
&,-l,<1> -> <2>,cd	confidence:0.8238993710691824
&,-l,<1>,cd -> <2>	confidence:0.8562091503267973
&,-l,<2> -> <1>,cd	confidence:0.9562043795620438
&,-l,cd -> <1>,<2>	confidence:0.8562091503267973
&,-l,<1>,<2> -> cd	confidence:0.9632352941176471
&,<2>,>,cd -> <1>	confidence:1.0
&,<1>,>,cd -> <2>	confidence:0.8711656441717791
&,>,cd -> <1>,<2>	confidence:0.8711656441717791
&,> -> <1>,<2>,cd	confidence:0.8658536585365854
&,<1>,> -> <2>,cd	confidence:0.8658536585365854
&,<2>,> -> <1>,cd	confidence:0.993006993006993
&,<1>,<2>,> -> cd	confidence:0.993006993006993
&,<2>,>,rm -> <1>	confidence:1.0
&,<1>,>,rm -> <2>	confidence:0.9024390243902439
&,>,rm -> <1>,<2>	confidence:0.9024390243902439
&,<2>,cd,cp -> <1>	confidence:1.0
&,<1>,cd,cp -> <2>	confidence:0.9858156028368794
&,cd,cp -> <1>,<2>	confidence:0.9858156028368794
&,<1>,<2>,cp -> cd	confidence:0.9858156028368794
&,<2>,cp -> <1>,cd	confidence:0.9858156028368794
&,<1>,cp -> <2>,cd	confidence:0.972027972027972
&,cp -> <1>,<2>,cd	confidence:0.972027972027972
&,<2>,cd,ll -> <1>	confidence:1.0
&,<1>,cd,ll -> <2>	confidence:0.8318965517241379
&,cd,ll -> <1>,<2>	confidence:0.8318965517241379
&,<1>,<2>,ll -> cd	confidence:0.9948453608247423
&,<2>,ll -> <1>,cd	confidence:0.9948453608247423
&,<1>,ll -> <2>,cd	confidence:0.8177966101694916
&,ll -> <1>,<2>,cd	confidence:0.8177966101694916
&,<2>,cd,ls -> <1>	confidence:1.0
&,<1>,<2>,ls -> cd	confidence:0.9705882352941176
&,<2>,ls -> <1>,cd	confidence:0.9658536585365853
&,<2>,cd,mv -> <1>	confidence:1.0
&,<1>,cd,mv -> <2>	confidence:0.9935897435897436
&,cd,mv -> <1>,<2>	confidence:0.9935897435897436
&,<1>,<2>,mv -> cd	confidence:0.96875
&,<2>,mv -> <1>,cd	confidence:0.96875
&,<1>,mv -> <2>,cd	confidence:0.9627329192546584
&,mv -> <1>,<2>,cd	confidence:0.9627329192546584
&,<2>,cd,rm -> <1>	confidence:1.0
&,<1>,cd,rm -> <2>	confidence:0.8250950570342205
&,cd,rm -> <1>,<2>	confidence:0.8250950570342205
&,<1>,<2>,rm -> cd	confidence:0.9819004524886877
&,<2>,rm -> <1>,cd	confidence:0.9819004524886877
&,<2>,cd,vi -> <1>	confidence:1.0
&,<1>,cd,vi -> <2>	confidence:0.842741935483871
&,cd,vi -> <1>,<2>	confidence:0.842741935483871
&,<1>,<2>,vi -> cd	confidence:0.9720930232558139
&,<2>,vi -> <1>,cd	confidence:0.9720930232558139
&,<1>,vi -> <2>,cd	confidence:0.806949806949807
&,vi -> <1>,<2>,cd	confidence:0.806949806949807
&,<2>,ll,rm -> <1>	confidence:1.0
&,<1>,ll,rm -> <2>	confidence:0.9202898550724637
&,ll,rm -> <1>,<2>	confidence:0.9202898550724637
