&,-l,<1>,<2>,cd : 131
&,<1>,<2>,>,cd : 142
&,<1>,<2>,>,rm : 111
&,<1>,<2>,cd,cp : 139
&,<1>,<2>,cd,ll : 193
&,<1>,<2>,cd,ls : 198
&,<1>,<2>,cd,mv : 155
&,<1>,<2>,cd,rm : 217
&,<1>,<2>,cd,vi : 209
&,<1>,<2>,ll,rm : 127
&,<1>,<2>,ll,vi : 132
&,<1>,<2>,ls,rm : 127
&,<1>,<2>,mv,rm : 114
&,<1>,<2>,mv,vi : 115
&,<1>,<2>,rm,vi : 140
&,<1>,>,cd,rm : 122
&,<1>,cd,ll,rm : 137
&,<1>,cd,ll,vi : 146
&,<1>,cd,ls,rm : 153
&,<1>,cd,ls,vi : 132
&,<1>,cd,mv,rm : 113
&,<1>,cd,mv,vi : 112
&,<1>,cd,rm,vi : 155
&,<2>,cd,ll,rm : 127
&,<2>,cd,ll,vi : 131
&,<2>,cd,ls,rm : 124
&,<2>,cd,mv,rm : 113
&,<2>,cd,mv,vi : 112
&,<2>,cd,rm,vi : 138
-,<1>,<2>,cd,cp : 117
-,<1>,<2>,cd,grep : 122
-,<1>,<2>,cd,k : 118
-,<1>,<2>,cd,ll : 208
-,<1>,<2>,cd,ls : 121
-,<1>,<2>,cd,m : 143
-,<1>,<2>,cd,mv : 150
-,<1>,<2>,cd,rm : 178
-,<1>,<2>,cd,vi : 151
-,<1>,<2>,cd,| : 125
-,<1>,<2>,k,ll : 118
-,<1>,<2>,ll,m : 136
-,<1>,<2>,ll,rm : 134
-,<1>,<2>,ll,vi : 119
-,<1>,<2>,mv,rm : 113
-,<1>,cd,k,ll : 123
-,<1>,cd,ll,m : 142
-,<1>,cd,ll,mv : 111
-,<1>,cd,ll,rm : 136
-,<1>,cd,ll,vi : 120
-,<1>,cd,mv,rm : 114
-,<2>,cd,k,ll : 118
-,<2>,cd,ll,m : 136
-,<2>,cd,ll,rm : 134
-,<2>,cd,ll,vi : 119
-,<2>,cd,mv,rm : 113
-f,<1>,<2>,cd,rm : 117
-l,<1>,<2>,>,cd : 123
-l,<1>,<2>,cd,cp : 194
-l,<1>,<2>,cd,elm : 161
-l,<1>,<2>,cd,exit : 131
-l,<1>,<2>,cd,grep : 153
-l,<1>,<2>,cd,k : 120
-l,<1>,<2>,cd,ll : 215
-l,<1>,<2>,cd,ls : 355
-l,<1>,<2>,cd,man : 123
-l,<1>,<2>,cd,more : 131
-l,<1>,<2>,cd,mv : 220
-l,<1>,<2>,cd,rm : 295
-l,<1>,<2>,cd,vi : 321
-l,<1>,<2>,cd,z : 116
-l,<1>,<2>,cd,| : 156
-l,<1>,<2>,cp,ls : 139
-l,<1>,<2>,cp,mv : 111
-l,<1>,<2>,cp,rm : 144
-l,<1>,<2>,cp,vi : 149
-l,<1>,<2>,elm,ls : 128
-l,<1>,<2>,elm,vi : 118
-l,<1>,<2>,exit,ls : 130
-l,<1>,<2>,grep,vi : 118
-l,<1>,<2>,k,ll : 120
-l,<1>,<2>,ll,rm : 133
-l,<1>,<2>,ll,vi : 137
-l,<1>,<2>,ls,more : 134
-l,<1>,<2>,ls,mv : 173
-l,<1>,<2>,ls,rm : 214
-l,<1>,<2>,ls,vi : 234
-l,<1>,<2>,mv,rm : 164
-l,<1>,<2>,mv,vi : 156
-l,<1>,<2>,rm,vi : 212
-l,<1>,<2>,vi,| : 111
-l,<1>,cd,cp,ls : 137
-l,<1>,cd,cp,rm : 142
-l,<1>,cd,cp,vi : 147
-l,<1>,cd,elm,ls : 177
-l,<1>,cd,elm,rm : 134
-l,<1>,cd,elm,vi : 143
-l,<1>,cd,exit,ls : 184
-l,<1>,cd,exit,rm : 114
-l,<1>,cd,exit,vi : 118
-l,<1>,cd,grep,ls : 115
-l,<1>,cd,grep,vi : 120
-l,<1>,cd,k,ll : 124
-l,<1>,cd,ll,rm : 136
-l,<1>,cd,ll,vi : 141
-l,<1>,cd,ls,more : 165
-l,<1>,cd,ls,mv : 170
-l,<1>,cd,ls,rm : 260
-l,<1>,cd,ls,vi : 284
-l,<1>,cd,ls,| : 129
-l,<1>,cd,more,vi : 111
-l,<1>,cd,mv,rm : 161
-l,<1>,cd,mv,vi : 153
-l,<1>,cd,rm,vi : 238
-l,<1>,cd,rm,| : 117
-l,<1>,cd,vi,| : 118
-l,<1>,cp,rm,vi : 116
-l,<1>,elm,ls,rm : 115
-l,<1>,elm,ls,vi : 119
-l,<1>,exit,ls,rm : 116
-l,<1>,exit,ls,vi : 118
-l,<1>,ls,more,vi : 111
-l,<1>,ls,mv,rm : 128
-l,<1>,ls,mv,vi : 123
-l,<1>,ls,rm,vi : 182
-l,<1>,mv,rm,vi : 122
-l,<2>,cd,cp,ls : 137
-l,<2>,cd,cp,rm : 142
-l,<2>,cd,cp,vi : 147
-l,<2>,cd,elm,ls : 120
-l,<2>,cd,elm,vi : 113
-l,<2>,cd,exit,ls : 128
-l,<2>,cd,grep,vi : 116
-l,<2>,cd,k,ll : 120
-l,<2>,cd,ll,rm : 133
-l,<2>,cd,ll,vi : 137
-l,<2>,cd,ls,more : 129
-l,<2>,cd,ls,mv : 170
-l,<2>,cd,ls,rm : 209
-l,<2>,cd,ls,vi : 230
-l,<2>,cd,mv,rm : 161
-l,<2>,cd,mv,vi : 153
-l,<2>,cd,rm,vi : 208
-l,<2>,cp,rm,vi : 116
-l,<2>,ls,mv,rm : 128
-l,<2>,ls,mv,vi : 123
-l,<2>,ls,rm,vi : 153
-l,<2>,mv,rm,vi : 122
-l,cd,cp,rm,vi : 114
-l,cd,elm,ls,vi : 114
-l,cd,exit,ls,rm : 112
-l,cd,exit,ls,vi : 117
-l,cd,ls,mv,rm : 125
-l,cd,ls,mv,vi : 120
-l,cd,ls,rm,vi : 178
-l,cd,mv,rm,vi : 119
-s,<1>,<2>,cd,ll : 161
-s,<1>,<2>,cd,ln : 119
-s,<1>,<2>,cd,ls : 122
-s,<1>,<2>,cd,rm : 160
-s,<1>,<2>,cd,vi : 143
-s,<1>,<2>,ll,rm : 113
-s,<1>,<2>,rm,vi : 114
-s,<1>,cd,ll,rm : 114
-s,<1>,cd,rm,vi : 116
-s,<2>,cd,ll,rm : 113
-s,<2>,cd,rm,vi : 113
<,<1>,<2>,cd,ll : 116
<,<1>,<2>,cd,rm : 116
<1>,<2>,<3>,cd,cp : 131
<1>,<2>,<3>,cd,ll : 175
<1>,<2>,<3>,cd,ls : 165
<1>,<2>,<3>,cd,mv : 152
<1>,<2>,<3>,cd,rm : 199
<1>,<2>,<3>,cd,vi : 175
<1>,<2>,<3>,ll,rm : 131
<1>,<2>,<3>,ll,vi : 114
<1>,<2>,<3>,ls,rm : 122
<1>,<2>,<3>,mv,rm : 121
<1>,<2>,<3>,rm,vi : 132
<1>,<2>,>,cd,cp : 164
<1>,<2>,>,cd,grep : 115
<1>,<2>,>,cd,ll : 192
<1>,<2>,>,cd,ls : 205
<1>,<2>,>,cd,mv : 168
<1>,<2>,>,cd,rm : 251
<1>,<2>,>,cd,vi : 226
<1>,<2>,>,cd,| : 116
<1>,<2>,>,cp,rm : 135
<1>,<2>,>,cp,vi : 128
<1>,<2>,>,ll,rm : 155
<1>,<2>,>,ll,vi : 138
<1>,<2>,>,ls,rm : 156
<1>,<2>,>,ls,vi : 134
<1>,<2>,>,mv,rm : 135
<1>,<2>,>,mv,vi : 126
<1>,<2>,>,rm,vi : 174
<1>,<2>,cat,cd,cp : 122
<1>,<2>,cat,cd,ll : 194
<1>,<2>,cat,cd,ls : 151
<1>,<2>,cat,cd,mv : 137
<1>,<2>,cat,cd,rm : 181
<1>,<2>,cat,cd,vi : 184
<1>,<2>,cat,ll,rm : 147
<1>,<2>,cat,ll,vi : 145
<1>,<2>,cat,rm,vi : 131
<1>,<2>,cd,chmod,ll : 136
<1>,<2>,cd,chmod,ls : 136
<1>,<2>,cd,chmod,mv : 137
<1>,<2>,cd,chmod,rm : 136
<1>,<2>,cd,chmod,vi : 150
<1>,<2>,cd,clear,ls : 130
<1>,<2>,cd,cp,elm : 148
<1>,<2>,cd,cp,exit : 150
<1>,<2>,cd,cp,fg : 119
<1>,<2>,cd,cp,grep : 163
<1>,<2>,cd,cp,ll : 296
<1>,<2>,cd,cp,ls : 463
<1>,<2>,cd,cp,m : 122
<1>,<2>,cd,cp,make : 139
<1>,<2>,cd,cp,man : 122
<1>,<2>,cd,cp,more : 154
<1>,<2>,cd,cp,mv : 301
<1>,<2>,cd,cp,pwd : 113
<1>,<2>,cd,cp,rm : 404
<1>,<2>,cd,cp,vi : 454
<1>,<2>,cd,cp,| : 161
<1>,<2>,cd,ct,ll : 118
<1>,<2>,cd,date,ls : 117
<1>,<2>,cd,date,vi : 113
<1>,<2>,cd,diff,ls : 136
<1>,<2>,cd,diff,rm : 113
<1>,<2>,cd,diff,vi : 125
<1>,<2>,cd,dir,ll : 121
<1>,<2>,cd,dir,rm : 113
<1>,<2>,cd,dir,vi : 143
<1>,<2>,cd,elm,exit : 174
<1>,<2>,cd,elm,fg : 179
<1>,<2>,cd,elm,grep : 118
<1>,<2>,cd,elm,ll : 111
<1>,<2>,cd,elm,ls : 362
<1>,<2>,cd,elm,mail : 117
<1>,<2>,cd,elm,more : 138
<1>,<2>,cd,elm,mv : 188
<1>,<2>,cd,elm,rm : 237
<1>,<2>,cd,elm,vi : 330
<1>,<2>,cd,emacs,ll : 112
<1>,<2>,cd,exit,ls : 392
<1>,<2>,cd,exit,more : 131
<1>,<2>,cd,exit,mv : 164
<1>,<2>,cd,exit,rm : 204
<1>,<2>,cd,exit,vi : 271
<1>,<2>,cd,f,ll : 139
<1>,<2>,cd,fg,ll : 142
<1>,<2>,cd,fg,ls : 212
<1>,<2>,cd,fg,mv : 133
<1>,<2>,cd,fg,rm : 177
<1>,<2>,cd,fg,vi : 239
<1>,<2>,cd,findall,k : 111
<1>,<2>,cd,findall,ll : 141
<1>,<2>,cd,finger,ls : 156
<1>,<2>,cd,finger,rm : 112
<1>,<2>,cd,finger,vi : 155
<1>,<2>,cd,grep,ll : 236
<1>,<2>,cd,grep,ls : 283
<1>,<2>,cd,grep,m : 112
<1>,<2>,cd,grep,make : 125
<1>,<2>,cd,grep,mv : 160
<1>,<2>,cd,grep,rm : 231
<1>,<2>,cd,grep,vi : 308
<1>,<2>,cd,grep,| : 188
<1>,<2>,cd,k,ll : 280
<1>,<2>,cd,k,m : 181
<1>,<2>,cd,k,man : 111
<1>,<2>,cd,k,rm : 144
<1>,<2>,cd,k,vi : 141
<1>,<2>,cd,k,z : 188
<1>,<2>,cd,less,ls : 127
<1>,<2>,cd,ll,ls : 236
<1>,<2>,cd,ll,m : 277
<1>,<2>,cd,ll,make : 146
<1>,<2>,cd,ll,man : 210
<1>,<2>,cd,ll,md : 149
<1>,<2>,cd,ll,mv : 301
<1>,<2>,cd,ll,rm : 388
<1>,<2>,cd,ll,vi : 413
<1>,<2>,cd,ll,wc : 111
<1>,<2>,cd,ll,z : 261
<1>,<2>,cd,ll,| : 181
<1>,<2>,cd,ls,mail : 185
<1>,<2>,cd,ls,make : 169
<1>,<2>,cd,ls,man : 145
<1>,<2>,cd,ls,mkdir : 185
<1>,<2>,cd,ls,more : 382
<1>,<2>,cd,ls,mv : 534
<1>,<2>,cd,ls,pwd : 166
<1>,<2>,cd,ls,rlogin : 124
<1>,<2>,cd,ls,rm : 661
<1>,<2>,cd,ls,vi : 716
<1>,<2>,cd,ls,| : 249
<1>,<2>,cd,m,man : 117
<1>,<2>,cd,m,mv : 146
<1>,<2>,cd,m,rm : 187
<1>,<2>,cd,m,vi : 163
<1>,<2>,cd,m,z : 160
<1>,<2>,cd,mail,vi : 139
<1>,<2>,cd,make,mv : 127
<1>,<2>,cd,make,rm : 189
<1>,<2>,cd,make,vi : 182
<1>,<2>,cd,man,mv : 139
<1>,<2>,cd,man,rm : 208
<1>,<2>,cd,man,vi : 217
<1>,<2>,cd,man,z : 112
<1>,<2>,cd,mkdir,mv : 155
<1>,<2>,cd,mkdir,rm : 127
<1>,<2>,cd,mkdir,vi : 131
<1>,<2>,cd,more,mv : 168
<1>,<2>,cd,more,rm : 228
<1>,<2>,cd,more,vi : 256
<1>,<2>,cd,more,| : 135
<1>,<2>,cd,mv,pwd : 121
<1>,<2>,cd,mv,rm : 466
<1>,<2>,cd,mv,tar : 126
<1>,<2>,cd,mv,vi : 450
<1>,<2>,cd,mv,z : 129
<1>,<2>,cd,mv,| : 196
<1>,<2>,cd,pwd,rm : 140
<1>,<2>,cd,pwd,vi : 172
<1>,<2>,cd,rlogin,rm : 112
<1>,<2>,cd,rlogin,vi : 125
<1>,<2>,cd,rm,tar : 141
<1>,<2>,cd,rm,vi : 544
<1>,<2>,cd,rm,z : 148
<1>,<2>,cd,rm,| : 228
<1>,<2>,cd,vi,z : 143
<1>,<2>,cd,vi,| : 252
<1>,<2>,cp,elm,ls : 127
<1>,<2>,cp,elm,vi : 128
<1>,<2>,cp,exit,ls : 154
<1>,<2>,cp,exit,vi : 120
<1>,<2>,cp,grep,ll : 111
<1>,<2>,cp,grep,rm : 119
<1>,<2>,cp,grep,vi : 140
<1>,<2>,cp,ll,ls : 128
<1>,<2>,cp,ll,mv : 146
<1>,<2>,cp,ll,rm : 197
<1>,<2>,cp,ll,vi : 203
<1>,<2>,cp,ls,more : 151
<1>,<2>,cp,ls,mv : 234
<1>,<2>,cp,ls,rm : 299
<1>,<2>,cp,ls,vi : 338
<1>,<2>,cp,ls,| : 114
<1>,<2>,cp,make,rm : 114
<1>,<2>,cp,more,vi : 115
<1>,<2>,cp,mv,rm : 232
<1>,<2>,cp,mv,vi : 230
<1>,<2>,cp,rm,vi : 302
<1>,<2>,cp,rm,| : 123
<1>,<2>,cp,vi,| : 130
<1>,<2>,elm,exit,ls : 190
<1>,<2>,elm,exit,rm : 113
<1>,<2>,elm,exit,vi : 139
<1>,<2>,elm,fg,ls : 159
<1>,<2>,elm,fg,vi : 163
<1>,<2>,elm,ls,mail : 135
<1>,<2>,elm,ls,more : 145
<1>,<2>,elm,ls,mv : 170
<1>,<2>,elm,ls,rm : 219
<1>,<2>,elm,ls,vi : 294
<1>,<2>,elm,mail,vi : 113
<1>,<2>,elm,more,vi : 120
<1>,<2>,elm,mv,rm : 139
<1>,<2>,elm,mv,vi : 153
<1>,<2>,elm,rm,vi : 203
<1>,<2>,exit,ls,more : 133
<1>,<2>,exit,ls,mv : 173
<1>,<2>,exit,ls,rm : 215
<1>,<2>,exit,ls,vi : 280
<1>,<2>,exit,mv,rm : 125
<1>,<2>,exit,mv,vi : 122
<1>,<2>,exit,rm,vi : 152
<1>,<2>,fg,ls,rm : 129
<1>,<2>,fg,ls,vi : 181
<1>,<2>,fg,mv,vi : 111
<1>,<2>,fg,rm,vi : 144
<1>,<2>,findall,k,ll : 113
<1>,<2>,finger,ls,vi : 126
<1>,<2>,grep,ll,rm : 135
<1>,<2>,grep,ll,vi : 157
<1>,<2>,grep,ls,mv : 111
<1>,<2>,grep,ls,rm : 162
<1>,<2>,grep,ls,vi : 202
<1>,<2>,grep,ls,| : 128
<1>,<2>,grep,mv,rm : 113
<1>,<2>,grep,mv,vi : 133
<1>,<2>,grep,rm,vi : 184
<1>,<2>,grep,vi,| : 141
<1>,<2>,k,ll,m : 184
<1>,<2>,k,ll,man : 112
<1>,<2>,k,ll,rm : 148
<1>,<2>,k,ll,vi : 143
<1>,<2>,k,ll,z : 189
<1>,<2>,k,m,z : 125
<1>,<2>,ll,ls,mv : 129
<1>,<2>,ll,ls,rm : 163
<1>,<2>,ll,ls,vi : 151
<1>,<2>,ll,m,man : 116
<1>,<2>,ll,m,mv : 134
<1>,<2>,ll,m,rm : 165
<1>,<2>,ll,m,vi : 158
<1>,<2>,ll,m,z : 154
<1>,<2>,ll,man,rm : 140
<1>,<2>,ll,man,vi : 150
<1>,<2>,ll,mv,rm : 202
<1>,<2>,ll,mv,vi : 202
<1>,<2>,ll,rm,vi : 258
<1>,<2>,ll,rm,z : 111
<1>,<2>,ll,rm,| : 114
<1>,<2>,ll,vi,z : 123
<1>,<2>,ll,vi,| : 127
<1>,<2>,ls,mail,vi : 147
<1>,<2>,ls,make,rm : 132
<1>,<2>,ls,make,vi : 124
<1>,<2>,ls,mkdir,mv : 148
<1>,<2>,ls,mkdir,rm : 123
<1>,<2>,ls,mkdir,vi : 120
<1>,<2>,ls,more,mv : 172
<1>,<2>,ls,more,rm : 234
<1>,<2>,ls,more,vi : 256
<1>,<2>,ls,more,| : 136
<1>,<2>,ls,mv,rm : 378
<1>,<2>,ls,mv,vi : 349
<1>,<2>,ls,mv,| : 137
<1>,<2>,ls,pwd,vi : 121
<1>,<2>,ls,rm,vi : 409
<1>,<2>,ls,rm,| : 167
<1>,<2>,ls,vi,| : 176
<1>,<2>,make,rm,vi : 144
<1>,<2>,man,mv,rm : 111
<1>,<2>,man,rm,vi : 156
<1>,<2>,mkdir,mv,rm : 112
<1>,<2>,more,mv,rm : 129
<1>,<2>,more,mv,vi : 126
<1>,<2>,more,rm,vi : 154
<1>,<2>,mv,rm,vi : 316
<1>,<2>,mv,rm,| : 142
<1>,<2>,mv,vi,| : 143
<1>,<2>,pwd,rm,vi : 114
<1>,<2>,rm,vi,| : 162
<1>,<3>,cd,ll,rm : 139
<1>,<3>,cd,ll,vi : 119
<1>,<3>,cd,ls,rm : 138
<1>,<3>,cd,ls,vi : 120
<1>,<3>,cd,mv,rm : 122
<1>,<3>,cd,rm,vi : 136
<1>,>,cd,cp,rm : 134
<1>,>,cd,cp,vi : 127
<1>,>,cd,ll,rm : 160
<1>,>,cd,ll,vi : 141
<1>,>,cd,ls,rm : 167
<1>,>,cd,ls,vi : 143
<1>,>,cd,mv,rm : 134
<1>,>,cd,mv,vi : 125
<1>,>,cd,rm,vi : 181
<1>,>,ll,rm,vi : 120
